title,title-cleaned,titlepart2,titlepart3,titlepart4,titlepart5,type,body,body-cleaned,post-time,lat,long,attributebubbles
Lobby Bar - m4w (Midtown),Lobby Bar , m4w (Midtown),,,,m4w ,You were having a drink with a girlfriend in the lobby bar last week. Not sure you noticed me checking you out since you were engaged in conversation. Put name of the hotel in your reply.,"You were having a drink with a girlfriend in the lobby bar last week.
Not sure you noticed me checking you out since you were engaged in conversation.
Put name of the hotel in your reply.",4/22/2016 21:13:00,,,age: 54
Part Time Boyfriend For Practice - w4m,Part Time Boyfriend For Practice , w4m,,,,w4m,"Oh I'm totally serious. I'm not where I want to be in life right now but of course I have a master plan. Getting crazy fit, taking my career to the next level, and maybe becoming the most interesting girl in the world. Not sure yet. It can get myopic though so I thought maybe a little fun couldn't hurt. You've got to let me cook for you sometimes since step one in man trapping is feeding him yumminess with no mercy. I want to step this all the way up so boys who are chefs, this is a plus, mention it. We've got to people watch and makeout because when I'm hot stuff again, I am to charm and not be too unnerved when I'm buttering a potential The two caveats. You must be truly plus size friendly. We can tell. And I won't be able to host for now so if you can't, we can't play. The obvious things you hear turn women off online most likely turn me off. Don't be a drag and force me to reiterate obvious things like say, I don't want to see pictures of your penis, I don't like cheaters so no married men and if my grandma could date you part time, there is no version in life where I will want to. Things like that. I'm not one of those girls with a retarded attraction to a lack of manners or sense. I like my bad boys with safe words. Which brings me to the main point most of you are even on Craigslist. Hopefully I've driven off the bottom of the barrel with the avalanche of Too-Many-Words This position comes with Benefits. Hee hee. k bai","Oh I'm totally serious.
I'm not where I want to be in life right now but of course I have a master plan.
Getting crazy fit,
taking my career to the next level,
and maybe becoming the most interesting girl in the world.
Not sure yet.
It can get myopic though so I thought maybe a little fun couldn't hurt.
You've got to let me cook for you sometimes since step one in man trapping is feeding him yumminess with no mercy.
I want to step this all the way up so boys who are chefs,
this is a plus,
mention it.
We've got to people watch
and makeout because when I'm hot stuff again,
I am to charm
and not be too unnerved when I'm buttering a potential The two caveats.
You must be truly plus size friendly.
We can tell.
And I won't be able to host for now so if you can't,
we can't play.
The obvious things you hear turn women off online most likely turn me off.
Don't be a drag
and force me to reiterate obvious things like say,
I don't want to see pictures of your penis,
I don't like cheaters so no married men
and if my grandma could date you part time,
there is no version in life where I will want to.
Things like that.
I'm not one of those girls with a retarded attraction to a lack of manners or sense.
I like my bad boys with safe words.
Which brings me to the main point most of you are even on Craigslist.
Hopefully I've driven off the bottom of the barrel with the avalanche of Too-Many-Words This position comes with Benefits.
Hee hee.
k bai",5/9/2016 16:23:00,,,body : big
For you - m4w,For you , m4w,,,,m4w,"Buenas Tarde Preciosa, Te amo. ............................................................................................................","Buenas Tarde Preciosa,
Te amo.
............................................................................................................",5/9/2016 14:54:00,,,
Planet Fitness Locker Room 225th Stree - m4m,Planet Fitness Locker Room 225th Stree , m4m,,,,m4m,"We were both in the locker room about 1130AM I was getting undressed for my shower, you were just coming in. I didn't know if you were checking me out or not, but you were cute. If you were, I wouldn't have minded by the way. I was in a rush and had to get to work. If I had more time, I would have waited around a bit for you. If this was you, tell me what color underwear you had on. i noticed your bulge.","We were both in the locker room about 1130AM I was getting undressed for my shower,
you were just coming in.
I didn't know if you were checking me out or not,
but you were cute.
If you were,
I wouldn't have minded by the way.
I was in a rush
and had to get to work.
If I had more time,
I would have waited around a bit for you.
If this was you,
tell me what color underwear you had on.
i noticed your bulge.",5/9/2016 15:07:00,40.8798,-73.9067,
23yo boy likes to show off - m4m,23yo boy likes to show off , m4m,,,,m4m,"6'1"" 150lbs athletic, Caucasian Like to show off my undies in public or private. Other things too. Message me for details and pictures. :):)","6'1"" 150lbs athletic,
Caucasian Like to show off my undies in public or private.
Other things too.
Message me for details
and pictures.
:):)",5/9/2016 14:35:00,,,body : athletic
Townhouse Last Night - m4m (Upper East Side),Townhouse Last Night , m4m (Upper East Side),,,,m4m ,"Hi, I saw you at Townhouse late last night. I was the Asian guy sitting in the corner. I couldn't tell if you were interested in chatting or not. We left around the same time. You went around the corner (once you left) to put on your jacket and you walked a little behind me when I passed you. Let me know if you'd be interesting in getting a drink.","Hi,
I saw you at Townhouse late last night.
I was the Asian guy sitting in the corner.
I couldn't tell if you were interested in chatting or not.
We left around the same time.
You went around the corner (once you left) to put on your jacket
and you walked a little behind me when I passed you.
Let me know if you'd be interesting in getting a drink.",5/9/2016 14:30:00,40.7571,-73.9657,
LaGuardia - m4w (LaGuardia),LaGuardia , m4w (LaGuardia),,,,m4w ,"This morning, saw you first as we were both getting out of our cabs at the curb and then again as we checked in at the kiosks, but you were always one step ahead of me. You had shoulder length hair with a bit of wavy curl, about 50 years old, and wearing long top coat that was unbuttoned. Road fun? Or here in NYC fun?","This morning,
saw you first as we were both getting out of our cabs at the curb
and then again as we checked in at the kiosks,
but you were always one step ahead of me.
You had shoulder length hair with a bit of wavy curl,
about 50 years old,
and wearing long top coat that was unbuttoned.
Road fun? Or here in NYC fun?",4/20/2016 17:27:00,,,body : fit
Uptown F 2pm - m4m (F train),Uptown F 2pm , m4m (F train),,,,m4m ,"We both got on at 2nd avenue around 1:45. You got off at 34th St. You: Blond, handsome, pink and blue checked shirt. Me: tan blazer and a backpack. Hey, ya never know!","We both got on at 2nd avenue around 1:45.
You got off at 34th St.
You: Blond,
handsome,
pink
and blue checked shirt.
Me: tan blazer
and a backpack.
Hey,
ya never know!",5/9/2016 14:06:00,40.7152,-73.9877,
looking for Frederica - m4w,looking for Frederica , m4w,,,,m4w,I met you as Rica but your real name was Frederica e mail me if you are still around. our last meeting was at a diner you had salmon hope you remember,"I met you as Rica but your real name was Frederica e mail me if you are still around.
our last meeting was at a diner you had salmon hope you remember",5/9/2016 13:28:00,,,
Eye contact on Park and 31st - m4m (Gramercy),Eye contact on Park and 31st , m4m (Gramercy),,,,m4m ,"Never tried this before but you were the very GL Asian/mixed guy walking west on 31st St. As you walked past me, we eyed each other (I had sunglasses on but watched you as you walked by). Would love to get together for coffee or a drink.","Never tried this before but you were the very GL Asian/mixed guy walking west on 31st St.
As you walked past me,
we eyed each other (I had sunglasses on but watched you as you walked by).
Would love to get together for coffee or a drink.",5/9/2016 13:39:00,40.745181,-73.982727,body : hwp
"cute young latino guy on 1 train, 145th, 1pm Monday - m4m (Harlem / Morningside)","cute young latino guy on 1 train, 145th, 1pm Monday ", m4m (Harlem / Morningside),,,,m4m ,"Hey-- You were a really cute young Latin guy with an awesome tatt sleeve... our eyes met a few times, but I couldn't tell if you were interested... you were also looking at the attractive girl next to me... I was holding a hale & hearty brown paper bag anyway, I'd be interested if you are","Hey-- You were a really cute young Latin guy with an awesome tatt sleeve...
our eyes met a few times,
but I couldn't tell if you were interested...
you were also looking at the attractive girl next to me...
I was holding a hale & hearty brown paper bag anyway,
I'd be interested if you are",5/9/2016 13:30:00,40.8583,-73.9296,
Sunday Brunch - m4w (Manhattan),Sunday Brunch , m4w (Manhattan),,,,m4w ,We were each with our families at nearby tables for brunch. Exchanged glances several times. Let's explore something discreet. Tell me the name of the restaurant in your message.,"We were each with our families at nearby tables for brunch.
Exchanged glances several times.
Let's explore something discreet.
Tell me the name of the restaurant in your message.",4/26/2016 9:30:00,,,body : fit
Work Romance - m4w (Manhattan),Work Romance , m4w (Manhattan),,,,m4w ,"Is it only in my mind or are you are flirting with me at the office? Is your tempting me real or just some amusement? It is too risky to actually approach you directly to find out if there is mutual interest to explore something discreet. I am pretty sure you are attracted to me. If I knew you would be open to a discreet relationship, I would go for it because I do sense that we would be very hot together. So I hope you see this and reply. Put ""Work Romance"" in title of your message and tell me something so I will know it is you when you reply.","Is it only in my mind or are you are flirting with me at the office? Is your tempting me real or just some amusement? It is too risky to actually approach you directly to find out if there is mutual interest to explore something discreet.
I am pretty sure you are attracted to me.
If I knew you would be open to a discreet relationship,
I would go for it because I do sense that we would be very hot together.
So I hope you see this
and reply.
Put ""Work Romance"" in title of your message
and tell me something so I will know it is you when you reply.",4/20/2016 17:26:00,,,body : fit
We talked in elevator - m4w (Midtown),We talked in elevator , m4w (Midtown),,,,m4w ,"Hello to the woman who held the elevator for me at the madison towers last week. You hit the 12th floor button for me. We made some small talk. You were dressed as if you just finished exercising. You got off on the 11th floor. I have to say, you have an incredible body. I should of stepped off on the 11 th floor as well. Perhaps you will read this ????","Hello to the woman who held the elevator for me at the madison towers last week.
You hit the 12th floor button for me.
We made some small talk.
You were dressed as if you just finished exercising.
You got off on the 11th floor.
I have to say,
you have an incredible body.
I should of stepped off on the 11 th floor as well.
Perhaps you will read this ????",4/26/2016 9:18:00,40.7517,-73.9707,
NYSC Mad/36 Sunday- seeking Mike - m4m (Midtown),NYSC Mad/36 Sunday, seeking Mike , m4m (Midtown),,,seeki,"Hey mike Such a hot thick muscular body Tan, tatted hot hairy chest You had some chains around your neck. Loved the way you took over- kissing me licking me sucking my dick and finger fucking me. I want you man Tell me how I can find you I'm the younger lean smooth guy with brown hair","Hey mike Such a hot thick muscular body Tan,
tatted hot hairy chest You had some chains around your neck.
Loved the way you took over- kissing me licking me sucking my dick
and finger fucking me.
I want you man Tell me how I can find you I'm the younger lean smooth guy with brown hair",5/9/2016 11:08:00,40.7443,-73.9781,
"Central Park, a violin, and a magical atmosphere - w4m (Central Park)","Central Park, a violin, and a magical atmosphere ", w4m (Central Park),,,,w4m ,"I have never done this before and who knows if you will ever see this, but here it goes...! You sat next to me on Sunday in Central Park by the violinist, sandwiched between two statues, amongst beautiful white and purple tulips. I first saw you standing by one of the statues, and I was trying to make eye-contact without being creepy. Then you left, but came back and sat by me on the bench. The breeze picked up and was blowing the elm seeds and flower petals everywhere. As I was trying to get them out of my hair and scarf, I apologized for blowing more of them your way. You didn't mind. And I said I thought it all seemed magical until allergies attack. You laughed. Then you took out a notebook, jotted down something, wished me a good day and left. I really regret not talking to you more, but I can be shy at first- and I think that may be the case for you too. You seemed interesting to me, and you had really nice eyes :) If you see this, maybe we can meet in the park again, listen to the violin, and maybe talk a little more than we did yesterday.","I have never done this before
and who knows if you will ever see this,
but here it goes...! You sat next to me on Sunday in Central Park by the violinist,
sandwiched between two statues,
amongst beautiful white
and purple tulips.
I first saw you standing by one of the statues,
and I was trying to make eye-contact without being creepy.
Then you left,
but came back
and sat by me on the bench.
The breeze picked up
and was blowing the elm seeds
and flower petals everywhere.
As I was trying to get them out of my hair
and scarf,
I apologized for blowing more of them your way.
You didn't mind.
And I said I thought it all seemed magical until allergies attack.
You laughed.
Then you took out a notebook,
jotted down something,
wished me a good day
and left.
I really regret not talking to you more,
but I can be shy at first-
and I think that may be the case for you too.
You seemed interesting to me,
and you had really nice eyes :) If you see this,
maybe we can meet in the park again,
listen to the violin,
and maybe talk a little more than we did yesterday.",5/9/2016 11:26:00,40.770272,-73.974209,
Bergdorfs - m4w (57th and Fifth),Bergdorfs , m4w (57th and Fifth),,,,m4w ,"Your were coming out of Bergdorfs yesterday as I was entering and I held the door for you. You were dressed to show your best and I was in blue suit. I think you saw me look back and wink. Contact me and lets see if this plays out as steamy as the looks would indicate. Discretion assured. Put ""Bergdorfs"" in title of your reply.","Your were coming out of Bergdorfs yesterday as I was entering
and I held the door for you.
You were dressed to show your best
and I was in blue suit.
I think you saw me look back
and wink.
Contact me
and lets see if this plays out as steamy as the looks would indicate.
Discretion assured.
Put ""Bergdorfs"" in title of your reply.",5/9/2016 10:24:00,,,body : fit
We spoke in elevator. - m4w (Midtown),We spoke in elevator. , m4w (Midtown),,,,m4w ,"Hello to the woman who held the elevator for me at the madison towers last week. You hit the 12th floor button for me. We made some small talk. You were dressed as if you just finished exercising. You got off on the 11th floor. I have to say, you have an incredible body. I should of stepped off on the 11 th floor as well. Perhaps you will read this ????","Hello to the woman who held the elevator for me at the madison towers last week.
You hit the 12th floor button for me.
We made some small talk.
You were dressed as if you just finished exercising.
You got off on the 11th floor.
I have to say,
you have an incredible body.
I should of stepped off on the 11 th floor as well.
Perhaps you will read this ????",5/4/2016 11:33:00,40.7443,-73.9781,
Attractive Blonde on 6 Train - m4w (Union Square),Attractive Blonde on 6 Train , m4w (Union Square),,,,m4w ,Attractive woman with kinky blonde hair and wearing black dress that boarded the 6 train on Lex line at 14th Street/Union Square with me. After we exchanged smiles I got off at Astor Place while you stayed on the train. Message me (the classy man in the grey suit).,"Attractive woman with kinky blonde hair
and wearing black dress that boarded the 6 train on Lex line at 14th Street/Union Square with me.
After we exchanged smiles I got off at Astor Place while you stayed on the train.
Message me (the classy man in the grey suit).",5/2/2016 8:30:00,,,body : fit
Theatre District Restaurant - m4w (Midtown West),Theatre District Restaurant , m4w (Midtown West),,,,m4w ,We were at adjoining tables at dinner three weeks ago on Saturday night. My spouse and I were with another couple and you and your husband were dining with others too. You have shoulder length blonde hair and we made eye contact several times.,"We were at adjoining tables at dinner three weeks ago on Saturday night.
My spouse
and I were with another couple
and you
and your husband were dining with others too.
You have shoulder length blonde hair
and we made eye contact several times.",5/9/2016 10:24:00,,,body : fit
we chatted in elevator - m4w (Midtown East),we chatted in elevator , m4w (Midtown East),,,,m4w ,"Hello to the woman who held the elevator for me at the madison towers last week. You hit the 12th floor button for me. We made some small talk. You were dressed as if you just finished exercising. You got off on the 11th floor. I have to say, you have an incredible body. I should of stepped off on the 11 th floor as well. Perhaps you will read this ????","Hello to the woman who held the elevator for me at the madison towers last week.
You hit the 12th floor button for me.
We made some small talk.
You were dressed as if you just finished exercising.
You got off on the 11th floor.
I have to say,
you have an incredible body.
I should of stepped off on the 11 th floor as well.
Perhaps you will read this ????",4/22/2016 14:09:00,40.7517,-73.9707,
Re Trust,Re Trust,,,,,,"Ouch, that's harsh. Try taking it slower next time. Give in a way that doesn't have you expecting. Enjoy the day and what you know without looking too far ahead. Appreciate the moments. Then give it one day at a time. Keep it positive and enjoy the person's company or keep it to a fond memory. Don't jump 10 steps ahead. Enjoy the present. Know the person's character before getting involved. Be friends first with no bennies or you may cloud your mind. Learn to ask the right questions and learn to listen to the answers. Many times the writing is on the wall. It's possible that you refused to see/accept it. The right person won't harm your heart. It's your duty to protect/heal it for that person. Learn to be open while knowing yourself and your boundaries. Communicate. Don't confuse lust with love, or you may be left wondering what happened. Good faith may be given anytime you decide. It says that you're open to what the Universe will bring. Real trust, on the other hand, takes time. Remain open, don't rush it. Most importantly, take time to heal by connecting to and with the people and things you enjoy. Don't give more energy to the person who caused you pain. Set yourself free. You decide.","Ouch,
that's harsh.
Try taking it slower next time.
Give in a way that doesn't have you expecting.
Enjoy the day
and what you know without looking too far ahead.
Appreciate the moments.
Then give it one day at a time.
Keep it positive
and enjoy the person's company or keep it to a fond memory.
Don't jump 10 steps ahead.
Enjoy the present.
Know the person's character before getting involved.
Be friends first with no bennies or you may cloud your mind.
Learn to ask the right questions
and learn to listen to the answers.
Many times the writing is on the wall.
It's possible that you refused to see/accept it.
The right person won't harm your heart.
It's your duty to protect/heal it for that person.
Learn to be open while knowing yourself
and your boundaries.
Communicate.
Don't confuse lust with love,
or you may be left wondering what happened.
Good faith may be given anytime you decide.
It says that you're open to what the Universe will bring.
Real trust,
on the other hand,
takes time.
Remain open,
don't rush it.
Most importantly,
take time to heal by connecting to
and with the people
and things you enjoy.
Don't give more energy to the person who caused you pain.
Set yourself free.
You decide.",5/9/2016 9:03:00,,,
For you - m4w,For you , m4w,,,,m4w,"Good Morning Precious, I love you. ............................................................................................................","Good Morning Precious,
I love you.
............................................................................................................",5/9/2016 8:12:00,,,
"Bridge runners cromags 10k, you led the stretch - m4w","Bridge runners cromags 10k, you led the stretch ", m4w,,,,m4w,"We both ran the Cromags 10k(ish) last week, ending by South Street Seaport. You led the stretch at the end. You were super cute. How do I see you again?","We both ran the Cromags 10k(ish) last week,
ending by South Street Seaport.
You led the stretch at the end.
You were super cute.
How do I see you again?",5/9/2016 8:55:00,,,
Beauty beheld on 1 train at 103 Saturday night - m4w (Upper West Side),Beauty beheld on 1 train at 103 Saturday night , m4w (Upper West Side),,,,m4w ,"We saw each other on the 1 train Saturday night (April 30th) just before 10:30. You are the most beautiful woman I've ever seen. You've got amazing blond hair, which you had arranged really well with hairpins, gorgeous soft eyes and lips, and you were wearing a cute jean jacket with chest pockets and tight black pants. We made eyes at each other between 96th and 103rd, where I got off. As I was leaving, I believe we both felt something undeniable and strong...your gaze as I walked away left me breathless and I instantly regretted my decision to leave the train and go home. I, in a daze, actually pulled out a piece of paper and wrote my number down on it, as the train was pulling away, scolding myself for not having thought of doing it earlier. It would have been so simple! I guess something held me back from approaching you...life will be simpler in a few months than it is right now. I wish that I see you again somewhere, and next time I won't make that same mistake. Your stunning visage is indelible to me now. I'll be looking out for you and I hope you will affirm that that moment won't just fleet away.","We saw each other on the 1 train Saturday night (April 30th) just before 10:30.
You are the most beautiful woman I've ever seen.
You've got amazing blond hair,
which you had arranged really well with hairpins,
gorgeous soft eyes
and lips,
and you were wearing a cute jean jacket with chest pockets
and tight black pants.
We made eyes at each other between 96th
and 103rd,
where I got off.
As I was leaving,
I believe we both felt something undeniable
and strong...your gaze as I walked away left me breathless
and I instantly regretted my decision to leave the train
and go home.
I,
in a daze,
actually pulled out a piece of paper
and wrote my number down on it,
as the train was pulling away,
scolding myself for not having thought of doing it earlier.
It would have been so simple! I guess something held me back from approaching you...life will be simpler in a few months than it is right now.
I wish that I see you again somewhere,
and next time I won't make that same mistake.
Your stunning visage is indelible to me now.
I'll be looking out for you
and I hope you will affirm that that moment won't just fleet away.",5/2/2016 10:22:00,40.7975,-73.9683,body : fit
Scruffy TodayTix agent with NP hat - m4m (Midtown),Scruffy TodayTix agent with NP hat , m4m (Midtown),,,,m4m ,My bf and I got our tickets for Fun Home from you on Saturday 5/7. You told us we were going to cry. I wanted to tell you the NastyPig jockstrap I was wearing matched your ballcap. What are you into?,"My bf
and I got our tickets for Fun Home from you on Saturday 5/7.
You told us we were going to cry.
I wanted to tell you the NastyPig jockstrap I was wearing matched your ballcap.
What are you into?",5/9/2016 8:53:00,,,
I walked away from her - m4t (Midtown East),I walked away from her , m4t (Midtown East),,,,m4t ,Why is love so complicated. I am married to one woman that cheated on me for years and eventually threw m Me out. During that dark period I met someone special but the ex begged me to take her back used the children to pull on My heart . I broke the girlfriend s heart by returning back home. I am happy to spend every day with my children but I find myself thinking so much about my russian love. I hate what I did to her and I think about her every day.,"Why is love so complicated.
I am married to one woman that cheated on me for years
and eventually threw m Me out.
During that dark period I met someone special but the ex begged me to take her back used the children to pull on My heart .
I broke the girlfriend s heart by returning back home.
I am happy to spend every day with my children but I find myself thinking so much about my russian love.
I hate what I did to her
and I think about her every day.",4/25/2016 16:07:00,40.754055,-73.976278,
Trust - m4w (Midtown),Trust , m4w (Midtown),,,,m4w ,"To trust is to take a knife of an intangible nature and meticulously remove an invisible piece of one's own heart to place in another's care, and to be forever unsure of their intention to place it in a jar for eternal maintenance, or to eat it in front of you, just to watch, as you die internally.","To trust is to take a knife of an intangible nature
and meticulously remove an invisible piece of one's own heart to place in another's care,
and to be forever unsure of their intention to place it in a jar for eternal maintenance,
or to eat it in front of you,
just to watch,
as you die internally.",5/9/2016 7:37:00,40.764933,-73.978597,
ISO BLACKOREA/HARLEM/LONG ISLAND CITY/LA OR NYC? - m4w (Harlem / Morningside),ISO BLACKOREA/HARLEM/LONG ISLAND CITY/LA OR NYC? , m4w (Harlem / Morningside),,,,m4w ,who are you and where are you? sorry for iso don't want to call you out maybe you or one of your friends or someone who knows you will see this we met Sat 3/19 after your soul dinner with new shoes we arrived separately strangers from same town at Harlem hot spot red wine at first bartender got it wrong u were v nice we were feeling it u had to leave to get up v v early we both wanted to continue but did not know how u texted I pushed away am sorry no deetz how can we find each other now? msg me here plz put name or descr where we met so I know it's you thx,"who are you
and where are you? sorry for iso don't want to call you out maybe you or one of your friends or someone who knows you will see this we met Sat 3/19 after your soul dinner with new shoes we arrived separately strangers from same town at Harlem hot spot red wine at first bartender got it wrong u were v nice we were feeling it u had to leave to get up v v early we both wanted to continue but did not know how u texted I pushed away am sorry no deetz how can we find each other now? msg me here plz put name or descr where we met so I know it's you thx",5/9/2016 7:50:00,40.80793,-73.945177,
